created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Mon Feb 26 08:20:08 +0000 2024;1762029766922879410;"Mahasiswi di Kota Makassar, Sulawesi Selatan, menjadi korban begal payudara dalam perjalanan pulang dari kampusnya. Korban yang melakukan perlawanan berhasil menjatuhkan kendaraan pelaku yang juga merupakan mahasiswa hingga korban berujung diamuk emak-emak.  Video penangkapan… https://t.co/AXqNQufeXx";0;0;1;8;in;55507370;1762029766922879410;tvOneNews;https://twitter.com/tvOneNews/status/1762029766922879410
Mon Oct 09 09:18:28 +0000 2023;1711310148726407365;"Seorang begal babak belur usai mencoba merampas kendaraan milik polisi anggota Resmob Ditreskrimum Polda Sulawesi Selatan (Sulsel) Begal itu rupanya salah sasaran saat mengincar kendaraan milik Bripda Deni Muhammad Firman anggota polisi dari unit Resmob Ditreskrimum Polda Sulsel https://t.co/vd3RuyOqX8";0;0;0;1;in;2447049943;1711310148726407365;InfoNusantaraID;https://twitter.com/InfoNusantaraID/status/1711310148726407365
Mon Oct 09 05:26:42 +0000 2023;1711251822822953185;"Nasib sial dialami seorang begal di Kota Makassar, Sulawesi Selatan (Sulsel).  https://t.co/pnhHw97nZI";0;0;0;0;in;1698580133068865536;1711251822822953185;heralddotID;https://twitter.com/heralddotID/status/1711251822822953185
Sun Oct 08 15:09:07 +0000 2023;1711036005405671802;"Seorang begal babak belur usai mencoba merampas kendaraan milik polisi anggota Resmob Ditreskrimum Polda Sulawesi Selatan (Sulsel).  Begal itu rupanya salah sasaran saat mengincar kendaraan milik Bripda Deni Muhammad Firman anggota polisi dari unit Resmob Ditreskrimum Polda… https://t.co/6JyrylrgRK";26;187;185;2846;in;1310415148184600577;1711036005405671802;sosmedkeras;https://twitter.com/sosmedkeras/status/1711036005405671802
Sun Oct 08 15:09:04 +0000 2023;1711035991623078286;"VIDEO: Salah Sasaran, Begal Justru Incar Anggota Resmob Polda Sulawesi Selatan! https://t.co/pn2zoR1IqU";0;0;0;3;in;47596019;1711035991623078286;liputan6dotcom;https://twitter.com/liputan6dotcom/status/1711035991623078286
Sun Oct 08 03:13:23 +0000 2023;1710855885122310654;"Seorang pelaku begal di Kota Makassar, Sulawesi Selatan slah sasaran setelah ia mencoba untuk membegal Korbannya yang ternyata anggota Polisi.  Pria tersebut diamuk massa oleh warga setempat dan korban. Kejadian ini terjadi di wilayah Kecamatan Ujun Pandang, Kota Makassar, Sulsel https://t.co/Nn4N1nreRc";0;1;0;0;in;1628785344769560576;1710855885122310654;inversimedia;https://twitter.com/inversimedia/status/1710855885122310654
Sat Oct 07 14:25:10 +0000 2023;1710662555126178111;"Viral video aksi begal seorang pria di Makassar, Sulawesi Selatan (Sulsel) yang justru dibekuk lantaran salah sasaran pada Kamis (5/10/2023).  Korban yang menjadi incaran begal ternyata adalah anggota polisi dari unit Resmob Ditreskrimum Polda Sulsel, Bripda Deni Muhammad Firman. https://t.co/zk8EQn0vdQ";0;1;0;0;in;46693036;1710662555126178111;inilahdotcom;https://twitter.com/inilahdotcom/status/1710662555126178111
Sat Oct 07 04:48:56 +0000 2023;1710517540152336820;"Aksi Begal di Makassar Gagal, Korbannya Ternyata Anggota Polisi  Nasib apes dialami seorang pelaku begal di Kota Makassar, Sulawesi Selatan (Sulsel). Aksi begalnya gagal setelah korban yang disasar ternyata anggota Polri. https://t.co/UvlSsulu8V";0;0;0;0;in;1497362075915816960;1710517540152336820;indo_dailynet;https://twitter.com/indo_dailynet/status/1710517540152336820
Tue Jul 04 13:29:00 +0000 2023;1676221572431101952;"Polisi menangkap pelaku begal berinisial DK, yang mengambil ponsel milik seorang remaja usai pulang salat subuh di Kabupaten Gowa, Sulawesi Selatan (Sulsel). Pelaku dibekuk saat tengah berada di rumahnya di kawasan Kota Makassar. YLD  #MNCTV #Pencurian #SulawesiSelatan #Makassar https://t.co/1ZoclpB81c";0;0;0;0;in;61377303;1676221572431101952;Lintas_MNCTV;https://twitter.com/Lintas_MNCTV/status/1676221572431101952
Mon Jul 03 11:00:03 +0000 2023;1675821699315400705;"Polisi menangkap pelaku begal berinisial DK, yang mengambil handphone milik seorang remaja usai pulang salat subuh di Kabupaten Gowa, Sulawesi Selatan. https://t.co/oR2dkUmJuv";0;0;3;6;in;69183155;1675821699315400705;detikcom;https://twitter.com/detikcom/status/1675821699315400705
